Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs América (MG),46,38.0,16570,20543,80.7,286429,101108,7807,8699,89.7,6722,7800,86.2,1597,2942,54.3,57,44.6,42.5,12.4,442,1520,350,98,1725
vs Ath Paranaense,40,38.0,14321,18062,79.3,257091,93676,6320,7209,87.7,6052,7056,85.8,1568,2785,56.3,30,32.7,35.9,-2.7,383,1073,267,84,1384
vs Atlético Mineiro,31,38.0,13543,17119,79.1,238106,90708,6279,7123,88.2,5479,6488,84.4,1430,2556,55.9,21,28.3,33.3,-7.3,352,1226,262,92,1461
vs Bahia,35,38.0,14077,17854,78.8,254019,91877,6248,7104,88.0,5939,6981,85.1,1583,2744,57.7,35,35.9,33.9,-0.9,342,1123,264,66,1434
vs Botafogo (RJ),36,38.0,15120,18892,80.0,269804,93592,6593,7403,89.1,6555,7620,86.0,1565,2834,55.2,28,37.0,30.5,-9.0,369,1260,259,76,1525
vs Corinthians,36,38.0,16407,19918,82.4,282430,96163,7700,8542,90.1,6787,7731,87.8,1502,2569,58.5,34,35.6,39.3,-1.6,482,1428,336,104,1743
vs Coritiba,47,38.0,15951,19782,80.6,293267,99864,6665,7575,88.0,7083,8110,87.3,1833,3061,59.9,45,38.6,38.7,6.4,448,1445,314,100,1689
vs Cruzeiro,38,38.0,13521,17288,78.2,244062,88749,6035,6846,88.2,5718,6745,84.8,1466,2771,52.9,22,30.6,28.6,-8.6,313,1130,246,61,1378
vs Cuiabá,30,38.0,17078,20691,82.5,307024,102581,7475,8234,90.8,7440,8465,87.9,1789,3028,59.1,25,31.3,36.5,-6.3,356,1511,312,105,1751
vs Flamengo,32,38.0,12632,15978,79.1,229580,85263,5484,6229,88.0,5333,6279,84.9,1473,2595,56.8,24,29.6,28.5,-5.6,379,967,250,78,1284
vs Fluminense,37,38.0,10954,14149,77.4,202255,76767,4819,5488,87.8,4490,5324,84.3,1384,2545,54.4,34,34.6,34.7,-0.6,403,953,295,98,1164
vs Fortaleza,32,38.0,15027,18696,80.4,267073,94987,6681,7544,88.6,6599,7579,87.1,1442,2605,55.4,28,29.1,30.7,-1.1,354,1144,261,80,1442
vs Goiás,42,38.0,16133,19812,81.4,289736,100845,6929,7797,88.9,7288,8340,87.4,1606,2828,56.8,37,31.7,35.6,5.3,401,1422,339,98,1761
vs Grêmio,44,38.0,15838,19643,80.6,273640,101354,7623,8576,88.9,6251,7374,84.8,1576,2696,58.5,38,40.8,44.1,-2.8,484,1468,354,93,1668
vs Internacional,35,38.0,14282,17981,79.4,262374,90923,6123,7018,87.2,6186,7204,85.9,1679,2840,59.1,26,27.1,29.3,-1.1,321,1197,268,91,1500
vs Palmeiras,33,38.0,13183,16553,79.6,225944,89976,6245,7012,89.1,5299,6244,84.9,1228,2362,52.0,21,27.2,26.1,-6.2,329,1030,213,62,1222
vs RB Bragantino,35,38.0,10273,14656,70.1,194954,82395,4364,5325,82.0,4263,5463,78.0,1396,2879,48.5,20,28.0,23.9,-8.0,324,769,196,48,992
vs Santos,46,38.0,15560,19335,80.5,273294,96199,7087,7918,89.5,6546,7618,85.9,1564,2787,56.1,46,36.3,42.2,9.7,399,1275,290,97,1510
vs São Paulo,38,38.0,11397,14709,77.5,203586,80728,5188,5894,88.0,4562,5467,83.4,1296,2446,53.0,24,24.3,24.7,-0.3,336,992,282,87,1219
vs Vasco da Gama,38,38.0,14734,18300,80.5,260687,93109,6596,7472,88.3,6287,7309,86.0,1490,2565,58.1,37,32.8,33.4,4.2,370,1312,306,76,1633
