Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
vs Ath Paranaense,36,38.0,71,5,1,,,,,,,,,2
vs Atlético Mineiro,39,38.0,86,6,3,,,,,,,,,4
vs Bahia,38,38.0,104,8,3,,,,,,,,,1
vs Botafogo (RJ),40,38.0,88,2,2,,,,,,,,,1
vs Chapecoense,40,38.0,79,4,1,,,,,,,,,1
vs Corinthians,28,38.0,99,8,5,,,,,,,,,1
vs Coritiba,34,38.0,107,2,2,,,,,,,,,0
vs Criciúma,52,38.0,84,2,1,,,,,,,,,0
vs Cruzeiro,37,38.0,101,3,2,,,,,,,,,1
vs Figueirense,41,38.0,78,6,2,,,,,,,,,1
vs Flamengo,36,38.0,81,6,2,,,,,,,,,2
vs Fluminense,32,38.0,94,2,2,,,,,,,,,6
vs Goiás,34,38.0,65,1,0,,,,,,,,,0
vs Grêmio,38,38.0,85,5,1,,,,,,,,,1
vs Internacional,38,38.0,93,10,4,,,,,,,,,1
vs Palmeiras,45,38.0,104,3,1,,,,,,,,,0
vs Santos,39,38.0,100,2,1,,,,,,,,,0
vs São Paulo,28,38.0,86,4,2,,,,,,,,,1
vs Sport Recife,34,38.0,73,3,2,,,,,,,,,1
vs Vitória,42,38.0,69,2,0,,,,,,,,,1
