Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ath Paranaense,3,38,38,3420,38.0,40,1.05,186,146,79.0,18,9,11,11,28.9,2,1,1,0,50.0
vs Atl Goianiense,2,38,38,3420,38.0,29,0.76,167,138,84.4,22,9,7,16,42.1,5,3,1,1,25.0
vs Atlético Mineiro,3,38,38,3420,38.0,47,1.24,162,113,77.8,13,14,11,11,28.9,13,11,2,0,15.4
vs Bahia,3,38,38,3418,38.0,49,1.29,174,125,73.0,15,8,15,7,18.4,2,2,0,0,0.0
vs Botafogo (RJ),2,38,38,3420,38.0,59,1.55,205,146,73.2,5,10,23,5,13.2,6,4,1,1,20.0
vs Corinthians,4,38,38,3420,38.0,54,1.42,198,143,75.3,12,11,15,12,31.6,6,5,1,0,16.7
vs Criciúma,2,38,38,3419,38.0,42,1.11,166,124,74.7,18,11,9,9,23.7,0,0,0,0,
vs Cruzeiro,2,38,38,3420,38.0,43,1.13,157,113,75.2,14,10,14,13,34.2,5,4,1,0,20.0
vs Cuiabá,2,38,38,3420,38.0,29,0.76,116,87,78.4,20,12,6,20,52.6,5,4,1,0,20.0
vs Flamengo,2,38,38,3420,38.0,61,1.61,210,148,75.2,8,10,20,6,15.8,11,9,2,0,18.2
vs Fluminense,2,38,38,3420,38.0,33,0.87,158,124,79.7,16,10,12,13,34.2,4,1,3,0,75.0
vs Fortaleza,1,38,38,3420,38.0,53,1.39,146,93,65.8,8,11,19,7,18.4,5,3,2,0,40.0
vs Grêmio,3,38,38,3420,38.0,44,1.16,159,117,74.2,17,9,12,12,31.6,3,3,0,0,0.0
vs Internacional,3,38,38,3420,38.0,53,1.39,193,138,74.6,9,11,18,7,18.4,8,4,3,1,42.9
vs Juventude,2,38,38,3420,38.0,48,1.26,172,123,72.1,15,12,11,7,18.4,1,0,1,0,100.0
vs Palmeiras,2,38,38,3420,38.0,60,1.58,221,162,76.5,9,7,22,11,28.9,9,8,1,0,11.1
vs RB Bragantino,3,38,38,3420,38.0,44,1.16,162,118,74.7,14,14,10,10,26.3,3,3,0,0,0.0
vs São Paulo,2,38,38,3418,38.0,53,1.4,157,105,68.2,13,8,17,7,18.4,4,3,1,0,25.0
vs Vasco da Gama,1,38,38,3420,38.0,43,1.13,139,95,69.8,16,8,14,12,31.6,3,1,2,0,66.7
vs Vitória,2,38,38,3419,38.0,45,1.18,153,109,75.2,17,8,13,8,21.1,7,7,0,0,0.0
