Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs América (MG),46,27.5,56.9,38,418,3420,38.0,78,57,135,73,5,8,76,5,62.8,56.4,44.6,101.0,876,1725,2.05,1.5,3.55,1.92,3.42,1.65,1.17,2.83,1.48,2.66
vs Ath Paranaense,40,27.6,51.5,38,418,3420,38.0,43,30,73,39,4,7,102,4,46.6,41.0,32.7,73.7,633,1384,1.13,0.79,1.92,1.03,1.82,1.23,0.86,2.09,1.08,1.94
vs Atlético Mineiro,31,27.4,47.2,38,418,3420,38.0,31,21,52,29,2,2,106,7,40.9,39.4,28.3,67.6,638,1461,0.82,0.55,1.37,0.76,1.32,1.08,0.74,1.82,1.04,1.78
vs Bahia,35,27.4,50.3,38,418,3420,38.0,52,35,87,46,6,6,94,5,51.2,46.8,35.9,82.7,676,1434,1.37,0.92,2.29,1.21,2.13,1.35,0.95,2.29,1.23,2.18
vs Botafogo (RJ),36,27.4,51.9,38,418,3420,38.0,36,28,64,36,0,1,101,2,49.0,48.3,37.0,85.3,635,1525,0.95,0.74,1.68,0.95,1.68,1.29,0.97,2.27,1.27,2.24
vs Corinthians,36,27.7,51.2,38,418,3420,38.0,47,34,81,41,6,7,98,6,49.6,44.2,35.6,79.7,824,1743,1.24,0.89,2.13,1.08,1.97,1.31,0.94,2.24,1.16,2.1
vs Coritiba,47,27.5,56.1,38,418,3420,38.0,71,45,116,62,9,10,97,4,60.8,53.0,38.6,91.5,659,1689,1.87,1.18,3.05,1.63,2.82,1.6,1.01,2.62,1.39,2.41
vs Cruzeiro,38,27.5,48.5,38,418,3420,38.0,32,22,54,30,2,3,118,4,42.2,39.8,30.6,70.4,645,1378,0.84,0.58,1.42,0.79,1.37,1.11,0.81,1.91,1.05,1.85
vs Cuiabá,30,27.6,56.2,38,418,3420,38.0,37,25,62,33,4,4,109,7,42.1,39.0,31.3,70.3,639,1751,0.97,0.66,1.63,0.87,1.53,1.11,0.82,1.93,1.03,1.85
vs Flamengo,32,27.5,42.6,38,418,3420,38.0,42,24,66,36,6,7,103,8,45.3,40.0,29.6,69.6,575,1284,1.11,0.63,1.74,0.95,1.58,1.19,0.78,1.97,1.05,1.83
vs Fluminense,37,27.6,38.4,38,418,3420,38.0,46,34,80,41,5,6,100,4,48.6,44.0,34.6,78.6,621,1164,1.21,0.89,2.11,1.08,1.97,1.28,0.91,2.19,1.16,2.07
vs Fortaleza,32,27.1,53.3,38,418,3420,38.0,42,28,70,39,3,7,100,5,43.7,38.3,29.1,67.4,725,1442,1.11,0.74,1.84,1.03,1.76,1.15,0.77,1.92,1.01,1.77
vs Goiás,42,27.2,55.4,38,418,3420,38.0,52,37,89,47,5,5,111,6,45.9,42.1,31.7,73.7,661,1761,1.37,0.97,2.34,1.24,2.21,1.21,0.83,2.04,1.11,1.94
vs Grêmio,44,27.6,53.3,38,418,3420,38.0,55,38,93,50,5,5,112,7,54.9,51.1,40.8,91.8,850,1668,1.45,1.0,2.45,1.32,2.32,1.45,1.07,2.52,1.34,2.42
vs Internacional,35,27.6,48.4,38,418,3420,38.0,44,26,70,38,6,7,99,8,47.2,41.5,27.1,68.6,598,1500,1.16,0.68,1.84,1.0,1.68,1.24,0.71,1.96,1.09,1.81
vs Palmeiras,33,27.4,47.3,38,418,3420,38.0,32,21,53,28,4,5,122,11,39.4,35.5,27.2,62.7,569,1222,0.84,0.55,1.39,0.74,1.29,1.04,0.72,1.75,0.93,1.65
vs RB Bragantino,35,27.5,43.5,38,418,3420,38.0,34,20,54,27,7,8,95,0,42.8,37.1,28.0,65.1,529,992,0.89,0.53,1.42,0.71,1.24,1.13,0.74,1.86,0.98,1.71
vs Santos,46,27.6,55.5,38,418,3420,38.0,61,46,107,57,4,6,110,6,51.5,46.9,36.3,83.2,640,1510,1.61,1.21,2.82,1.5,2.71,1.36,0.95,2.31,1.24,2.19
vs São Paulo,38,27.7,40.5,38,418,3420,38.0,37,24,61,29,8,9,114,4,36.7,29.8,24.3,54.1,515,1219,0.97,0.63,1.61,0.76,1.39,0.97,0.64,1.61,0.78,1.42
vs Vasco da Gama,38,27.4,52.0,38,418,3420,38.0,51,37,88,47,4,5,89,6,46.2,42.2,32.8,75.0,663,1633,1.34,0.97,2.32,1.24,2.21,1.22,0.86,2.08,1.11,1.97
