Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
vs América (MG),46,38.0,57,488,188,38.5,12.84,4.95,0.1,0.27,,6,6
vs Ath Paranaense,36,38.0,32,499,140,28.1,13.13,3.68,0.05,0.19,,5,6
vs Atlético Mineiro,39,37.0,50,510,186,36.5,13.78,5.03,0.09,0.25,,3,3
vs Botafogo (RJ),34,38.0,38,469,146,31.1,12.34,3.84,0.08,0.26,,0,2
vs Chapecoense,35,37.0,53,503,186,37.0,13.59,5.03,0.09,0.24,,9,11
vs Corinthians,34,38.0,41,413,145,35.1,10.87,3.82,0.09,0.25,,5,6
vs Coritiba,41,38.0,41,432,154,35.6,11.37,4.05,0.08,0.23,,5,5
vs Cruzeiro,37,38.0,46,415,158,38.1,10.92,4.16,0.1,0.26,,5,8
vs Figueirense,39,38.0,50,583,192,32.9,15.34,5.05,0.08,0.23,,5,7
vs Flamengo,31,38.0,34,475,148,31.2,12.5,3.89,0.07,0.21,,3,3
vs Fluminense,33,38.0,44,541,163,30.1,14.24,4.29,0.08,0.26,,2,2
vs Grêmio,37,38.0,44,502,147,29.3,13.21,3.87,0.08,0.27,,5,7
vs Internacional,40,38.0,41,471,149,31.6,12.39,3.92,0.08,0.25,,4,6
vs Palmeiras,35,38.0,31,405,128,31.6,10.66,3.37,0.07,0.23,,2,2
vs Ponte Preta,35,38.0,50,382,138,36.1,10.05,3.63,0.12,0.33,,5,5
vs Santa Cruz,41,38.0,67,492,183,37.2,12.95,4.82,0.13,0.36,,1,3
vs Santos,38,38.0,35,511,173,33.9,13.45,4.55,0.06,0.18,,3,4
vs São Paulo,41,38.0,33,440,144,32.7,11.58,3.79,0.07,0.21,,3,6
vs Sport Recife,30,38.0,55,512,179,35.0,13.47,4.71,0.1,0.28,,5,7
vs Vitória,33,38.0,52,501,201,40.1,13.18,5.29,0.1,0.24,,3,5
